usgs_id,ocean_class,dist_to_coast_km
iscgem615374407,oceanic,206.579
iscgem615142175,oceanic,590.016
iscgem615380543,continental,25.027
iscgem615092476,continental,48.546
iscgem620328319,transitional,172.605
iscgem614969911,oceanic,208.748
iscgem615221632,continental,25.432
iscgem614774103,continental,20.093
iscgem614641055,transitional,136.64
iscgem614610379,oceanic,796.666
iscgem614610371,oceanic,804.679
iscgem620213281,transitional,142.047
iscgem614617848,oceanic,251.921
iscgem615737574,transitional,87.322
iscgem614617830,transitional,51.353
iscgem614578210,transitional,126.009
iscgem614578192,transitional,127.666
iscgem614617823,oceanic,541.112
iscgem614617816,oceanic,818.977
iscgem614574305,continental,26.781
iscgem614572080,transitional,155.89
iscgem614559323,transitional,117.464
iscgem614554814,continental,31.926
iscgem614554733,oceanic,474.737
iscgem614554713,transitional,86.063
iscgem614463969,transitional,99.971
iscgem614463414,transitional,115.296
iscgem614460821,continental,48.289
iscgem615091897,transitional,89.298
iscgem615091895,transitional,156.353
iscgem614459017,transitional,51.619
iscgem614456216,continental,15.614
iscgem614453863,continental,7.995
iscgem614438483,continental,35.647
iscgem614423758,transitional,149.429
iscgem614405114,oceanic,1155.971
iscgem615091842,oceanic,1138.448
iscgem616639832,oceanic,1132.575
iscgem616643649,transitional,83.168
iscgem614401519,oceanic,524.652
iscgem616643636,oceanic,527.03
iscgem614337169,oceanic,688.407
iscgem615091717,oceanic,231.145
iscgem616336693,transitional,71.084
iscgem614221198,continental,21.631
iscgem614590625,transitional,71.83
iscgem616643476,transitional,123.924
iscgem614174659,oceanic,432.055
iscgem618238013,transitional,65.74
iscgem613954659,continental,16.515
iscgem613523154,oceanic,318.029
iscgem613523042,oceanic,227.324
iscgem616642696,transitional,67.525
iscgem614453461,continental,20.53
iscgem613516355,continental,35.821
iscgem613514189,transitional,134.352
iscgem613510731,continental,33.223
iscgem613510725,continental,7.726
iscgem613510732,continental,22.896
iscgem613503535,oceanic,1108.645
iscgem613503541,oceanic,1114.555
iscgem613500786,oceanic,483.326
iscgem613446529,transitional,78.741
iscgem615091204,transitional,100.699
iscgem615435921,transitional,50.516
iscgem615091201,transitional,58.499
iscgem615091200,transitional,57.134
iscgem613449576,transitional,57.621
iscgem613319351,transitional,85.104
iscgem612848403,transitional,158.455
iscgem616642238,continental,31.976
iscgem616329797,continental,23.15
iscgem615001358,oceanic,395.893
iscgem614399852,oceanic,1168.973
iscgem615001202,transitional,61.029
iscgem612708719,transitional,101.84
iscgem612708067,oceanic,243.375
iscgem618237865,continental,24.89
iscgem612848327,oceanic,409.149
iscgem612697604,oceanic,255.755
iscgem615001001,oceanic,1174.972
iscgem612700575,transitional,114.02
iscgem612640280,continental,32.043
iscgem612638538,oceanic,703.666
iscgem612637304,transitional,182.019
iscgem612634106,transitional,92.49
iscgem612616267,continental,27.291
iscgem612700546,oceanic,471.964
iscgem612616014,continental,24.595
iscgem612543198,oceanic,325.833
iscgem614966290,transitional,93.394
iscgem612543144,oceanic,333.627
iscgem612543157,transitional,115.357
iscgem616641704,transitional,169.136
iscgem616641680,transitional,79.826
iscgem618237793,transitional,83.997
iscgem616641666,transitional,81.64
iscgem612533099,transitional,79.363
iscgem616639256,transitional,97.806
iscgem612678561,transitional,84.28
iscgem616641627,oceanic,1349.278
iscgem612512937,oceanic,1371.335
iscgem612508682,transitional,89.585
iscgem612456510,oceanic,325.891
iscgem615000905,oceanic,328.602
iscgem612522409,transitional,81.992
iscgem612522384,transitional,115.489
iscgem612300569,continental,12.446
iscgem612299504,oceanic,808.167
iscgem614965779,transitional,113.612
iscgem612281237,transitional,161.105
iscgem612219132,oceanic,653.374
iscgem615000719,continental,16.612
iscgem611932171,oceanic,1544.639
iscgem611928842,oceanic,702.601
iscgem611928827,oceanic,3621.597
iscgem611881700,transitional,58.731
iscgem611872858,oceanic,440.525
iscgem611927948,continental,29.772
iscgem611868124,transitional,192.639
iscgem611852739,continental,27.021
iscgem611930630,transitional,61.528
iscgem611852723,transitional,65.653
iscgem611858877,transitional,74.2
iscgem611858867,continental,34.647
iscgem611818766,continental,31.901
iscgem615000444,transitional,71.318
iscgem615000215,continental,43.501
iscgem618140477,continental,12.28
iscgem611722840,continental,9.927
iscgem612504204,continental,26.847
iscgem611722806,continental,6.45
iscgem611829275,transitional,95.113
iscgem615000068,continental,22.86
iscgem611835996,transitional,85.749
iscgem616640792,continental,25.462
iscgem611835901,continental,22.763
iscgem611835880,oceanic,1480.951
iscgem611835852,continental,16.929
iscgem611835835,continental,15.682
iscgem611658170,transitional,163.634
iscgem618237460,transitional,179.962
iscgem611653794,transitional,99.461
iscgem616640769,oceanic,218.851
iscgem611835791,oceanic,241.524
iscgem611835770,continental,17.168
iscgem611648221,transitional,96.604
iscgem611634051,continental,29.934
iscgem611604311,oceanic,265.749
iscgem611602013,continental,27.285
iscgem618237306,oceanic,1043.674
iscgem615353083,oceanic,1034.541
iscgem611835493,transitional,102.667
iscgem616640692,transitional,102.047
iscgem611616530,transitional,100.772
iscgem611575821,transitional,99.075
iscgem616640658,transitional,99.158
iscgem611572251,oceanic,1031.493
iscgem615352925,continental,28.577
iscgem611835382,continental,27.853
iscgem611474084,oceanic,1058.095
iscgem614999545,oceanic,1044.96
iscgem614999540,oceanic,1058.73
iscgem614999538,oceanic,1066.597
iscgem617943570,oceanic,1735.445
iscgem616640579,transitional,75.762
iscgem617943542,oceanic,657.506
iscgem615352718,continental,3.873
iscgem614999445,transitional,84.415
iscgem611835219,transitional,62.653
iscgem611573912,oceanic,1061.469
iscgem614999396,oceanic,1089.858
iscgem611467328,transitional,50.855
iscgem614999385,oceanic,1098.685
iscgem611249173,transitional,64.687
iscgem615211684,transitional,50.743
iscgem617443075,continental,24.244
iscgem617824321,oceanic,246.295
iscgem611085808,oceanic,201.428
iscgem611835044,continental,33.461
iscgem617824294,transitional,51.61
iscgem611835038,continental,23.74
iscgem614999171,continental,32.885
iscgem611023352,transitional,166.881
iscgem616640401,oceanic,798.516
iscgem611004097,transitional,67.903
iscgem614999129,continental,15.118
iscgem611079453,oceanic,273.614
iscgem611600536,transitional,83.916
iscgem616640353,oceanic,322.6
iscgem615092933,transitional,100.705
iscgem610942428,oceanic,693.771
iscgem610944555,transitional,115.063
iscgem616640276,oceanic,232.134
iscgem616640266,continental,24.616
iscgem616640239,oceanic,624.393
iscgem610882498,oceanic,641.284
iscgem610874246,oceanic,1810.739
iscgem610873866,oceanic,1861.118
iscgem610790782,transitional,162.372
iscgem611834385,continental,25.691
iscgem610870332,transitional,104.968
iscgem610785483,oceanic,325.084
iscgem611834365,oceanic,308.834
iscgem616625012,continental,14.767
iscgem610870262,continental,48.406
iscgem611600353,oceanic,718.051
iscgem610728836,transitional,73.247
iscgem615092744,transitional,51.658
iscgem616640056,transitional,78.021
iscgem611189152,continental,30.002
iscgem611834165,continental,34.52
iscgem610759008,oceanic,296.738
iscgem616639690,transitional,174.649
iscgem615348170,oceanic,340.887
iscgem611834027,continental,40.01
iscgem616652111,oceanic,464.053
iscgem610655578,continental,35.155
iscgem611833893,continental,1.947
iscgem611833873,transitional,56.224
iscgem614818708,transitional,52.695
iscgem616639916,oceanic,293.879
iscgem610618206,transitional,66.3
iscgem610618045,transitional,135.832
iscgem610593224,oceanic,1799.791
iscgem611833703,oceanic,211.162
iscgem611833705,oceanic,223.836
iscgem611833669,oceanic,291.928
iscgem610548803,oceanic,214.911
iscgem610652991,oceanic,201.253
iscgem611832316,oceanic,446.17
iscgem614428763,oceanic,1355.967
iscgem610478084,oceanic,305.569
iscgem610441408,continental,28.944
iscgem611832141,oceanic,463.927
iscgem615190856,transitional,105.36
iscgem615092497,continental,34.467
iscgem611831873,transitional,160.635
iscgem610239211,transitional,69.244
iscgem610243814,oceanic,461.054
iscgem610208008,oceanic,557.231
iscgem615345541,transitional,185.636
iscgem611831635,transitional,60.35
iscgem615190385,transitional,74.756
iscgem610180874,transitional,74.24
iscgem614538632,oceanic,237.658
iscgem611831502,oceanic,1856.897
iscgem615092301,oceanic,740.728
iscgem610180859,oceanic,766.764
iscgem615092294,oceanic,345.954
iscgem611831426,oceanic,215.706
iscgem609939179,transitional,134.44
iscgem611831355,transitional,53.832
iscgem609926106,transitional,82.268
iscgem609925218,oceanic,281.14
iscgem611831327,continental,14.784
iscgem609925047,continental,28.783
iscgem611831311,transitional,51.692
iscgem609869933,transitional,121.844
iscgem611831261,continental,17.869
iscgem611831259,continental,23.265
iscgem609838923,continental,48.996
iscgem611831246,continental,42.693
iscgem609838893,oceanic,324.983
iscgem609835783,oceanic,1622.741
iscgem609828738,continental,44.797
iscgem612638107,transitional,64.684
iscgem609804592,oceanic,259.071
iscgem615073288,oceanic,1880.655
iscgem615068943,continental,28.631
iscgem615057210,transitional,91.275
iscgem615057144,transitional,177.231
iscgem615052593,oceanic,558.38
iscgem615035926,continental,29.184
iscgem615033088,oceanic,839.595
iscgem615033176,continental,19.918
iscgem615035032,continental,24.818
iscgem615029562,oceanic,209.498
iscgem615010353,oceanic,237.25
iscgem609624987,oceanic,844.954
iscgem612638074,oceanic,849.297
iscgem609619717,continental,11.788
iscgem611830857,oceanic,357.683
iscgem609604648,oceanic,528.46
iscgem609631624,transitional,132.874
iscgem609594680,continental,47.569
iscgem609561441,transitional,198.137
iscgem609577618,continental,32.094
iscgem609549673,transitional,182.024
iscgem611830660,continental,23.971
iscgem609439035,oceanic,450.836
iscgem611830548,continental,1.578
iscgem609394985,oceanic,309.858
iscgem611830479,transitional,108.668
iscgem609394345,continental,44.774
iscgem611830455,continental,36.08
iscgem611830425,oceanic,770.866
iscgem611462212,oceanic,838.972
iscgem609377118,transitional,79.438
iscgem611830402,transitional,67.206
iscgem609370653,transitional,52.338
iscgem611462204,transitional,74.412
iscgem609367586,continental,15.451
iscgem609329839,transitional,52.113
iscgem611830337,oceanic,984.709
iscgem611830288,transitional,110.952
iscgem609287853,oceanic,291.982
iscgem611830246,transitional,96.859
iscgem609262205,continental,2.235
iscgem611830214,oceanic,576.505
iscgem609252656,oceanic,803.541
iscgem609109145,transitional,59.592
iscgem609093424,transitional,115.136
iscgem612637122,oceanic,1879.43
iscgem611829982,continental,18.001
iscgem611462104,continental,15.32
iscgem609349303,oceanic,947.702
iscgem611829959,oceanic,783.129
iscgem609001459,transitional,184.016
iscgem611829948,transitional,181.859
iscgem612637104,continental,36.26
iscgem611462047,continental,5.895
iscgem608992774,transitional,65.845
iscgem611829923,transitional,116.941
iscgem612637074,continental,20.353
iscgem612637065,oceanic,832.041
iscgem611829898,transitional,63.372
iscgem608951780,transitional,90.67
iscgem611829874,transitional,160.678
iscgem611566084,oceanic,250.088
iscgem608811807,oceanic,1772.166
iscgem608794662,transitional,117.05
iscgem611829810,transitional,101.556
iscgem608617680,continental,8.902
iscgem611829670,oceanic,442.55
iscgem609595544,transitional,65.005
iscgem608588064,transitional,67.395
iscgem611829637,transitional,51.636
iscgem611829626,transitional,58.951
iscgem608556966,transitional,99.466
iscgem610289055,transitional,83.488
iscgem608555483,continental,11.491
iscgem611829310,oceanic,238.48
iscgem613397458,transitional,88.001
iscgem611829306,oceanic,997.997
iscgem608545133,oceanic,1488.508
iscgem611839145,transitional,192.747
iscgem608540950,transitional,196.365
iscgem608619598,oceanic,210.009
iscgem611839117,oceanic,239.685
iscgem611839113,oceanic,305.207
iscgem608520061,continental,23.662
iscgem608493945,continental,33.012
iscgem611839036,oceanic,430.818
iscgem608490750,transitional,66.814
iscgem608482495,transitional,65.379
iscgem611838975,transitional,52.136
iscgem611461544,oceanic,1044.92
iscgem611838920,continental,30.886
iscgem611838894,oceanic,481.838
iscgem608335592,transitional,56.811
iscgem608334666,continental,42.434
iscgem611838852,transitional,85.383
iscgem611838834,transitional,157.967
iscgem611838828,oceanic,478.99
iscgem612141888,continental,12.226
iscgem611838796,continental,23.259
iscgem611838766,transitional,58.015
iscgem612141720,continental,34.152
iscgem612141669,oceanic,252.25
iscgem612141578,continental,8.797
iscgem608278395,continental,15.432
iscgem612141445,oceanic,396.82
iscgem612141385,continental,15.084
iscgem608169794,oceanic,203.881
iscgem608169793,continental,16.89
iscgem611838631,transitional,185.484
iscgem608168789,transitional,169.581
iscgem612140990,oceanic,1206.502
iscgem608306892,continental,14.842
iscgem612128431,oceanic,1489.39
iscgem608117192,continental,12.467
iscgem608114869,oceanic,288.802
iscgem612128092,transitional,182.505
iscgem611838492,oceanic,759.849
iscgem611838494,transitional,184.937
iscgem608081959,oceanic,1722.356
iscgem608079035,oceanic,564.036
iscgem612127051,oceanic,428.652
iscgem610982045,oceanic,365.855
iscgem608053212,oceanic,270.476
iscgem612296714,oceanic,223.25
iscgem612126642,transitional,62.497
iscgem612126344,continental,46.822
iscgem612296376,oceanic,265.434
iscgem612297195,continental,31.261
iscgem611838313,oceanic,580.313
iscgem611838315,oceanic,589.071
iscgem611838301,transitional,58.746
iscgem608023824,continental,28.358
iscgem608022996,oceanic,452.849
iscgem611838290,oceanic,565.348
iscgem608101119,transitional,78.819
iscgem612180979,oceanic,1464.709
iscgem607926769,transitional,114.152
iscgem607926765,continental,39.912
iscgem612089430,oceanic,318.794
iscgem607920682,transitional,97.182
iscgem607861850,transitional,92.485
iscgem610637893,transitional,59.999
iscgem611836729,oceanic,468.97
iscgem611836717,transitional,98.797
iscgem610433581,oceanic,410.175
iscgem607860433,oceanic,368.722
iscgem611836705,oceanic,375.623
iscgem611836693,oceanic,297.026
iscgem607745130,oceanic,284.212
iscgem607743131,oceanic,376.986
iscgem608098144,oceanic,399.307
iscgem610637528,oceanic,425.945
iscgem610637518,oceanic,380.558
iscgem608098025,oceanic,353.626
iscgem607743104,oceanic,348.821
iscgem611531714,oceanic,366.005
iscgem611836680,continental,32.986
iscgem607742160,continental,24.297
iscgem607738244,continental,6.113
iscgem607861556,continental,20.384
iscgem607677238,continental,29.049
iscgem610636783,continental,30.161
iscgem607726112,continental,20.387
iscgem610636664,continental,3.611
iscgem610636558,continental,45.345
iscgem610636326,oceanic,419.092
iscgem611836295,transitional,96.275
iscgem611836309,transitional,69.861
iscgem611836237,transitional,89.189
iscgem611836215,transitional,95.496
iscgem611836181,continental,10.588
iscgem611836168,transitional,86.217
iscgem611836134,oceanic,566.777
iscgem611459998,oceanic,1940.626
iscgem611803311,oceanic,321.401
iscgem607304048,transitional,62.767
iscgem611800925,continental,31.969
iscgem611800923,oceanic,286.224
iscgem607307843,transitional,64.289
iscgem607288602,oceanic,333.838
iscgem608295904,oceanic,221.028
iscgem610634927,transitional,74.733
iscgem607273371,oceanic,253.325
iscgem607269407,oceanic,228.347
iscgem610634789,continental,8.885
iscgem607263633,continental,11.767
iscgem607261306,continental,11.077
iscgem607281992,continental,13.793
iscgem610588475,continental,24.281
iscgem610588455,continental,16.942
iscgem607254107,continental,18.355
iscgem610588344,oceanic,703.549
iscgem610588291,transitional,178.546
iscgem609816808,oceanic,1629.858
iscgem610588278,oceanic,1657.118
iscgem607281870,continental,38.774
iscgem607744335,continental,42.606
iscgem607285791,transitional,80.807
iscgem610587977,transitional,63.131
iscgem610587943,oceanic,241.3
iscgem607211055,oceanic,1656.412
iscgem607260065,oceanic,1746.183
iscgem607260012,oceanic,1665.782
iscgem607208674,oceanic,1751.686
iscgem607206280,continental,16.379
iscgem607203502,continental,38.343
iscgem607188894,transitional,84.454
iscgem610587762,continental,34.398
iscgem607263246,continental,34.426
