usgs_id,ocean_class,dist_to_coast_km
iscgem617824321,transitional,78.25
iscgem611085808,transitional,51.522
iscgem611835044,oceanic,623.78
iscgem617824294,transitional,90.033
iscgem611835038,oceanic,234.736
iscgem614999171,transitional,171.859
iscgem611023352,continental,21.861
iscgem616640401,continental,5.317
iscgem611004097,oceanic,270.186
iscgem614999129,oceanic,215.684
iscgem611079453,oceanic,211.95
iscgem611600536,transitional,89.357
iscgem616640353,transitional,122.771
iscgem615092933,continental,40.434
iscgem610942428,transitional,68.477
iscgem610944555,transitional,94.683
iscgem616640276,continental,17.997
iscgem616640266,oceanic,749.574
iscgem616640239,continental,29.003
iscgem610882498,continental,4.995
iscgem610874246,oceanic,2308.893
iscgem610873866,oceanic,1333.221
iscgem610790782,continental,3.819
iscgem611834385,oceanic,416.621
iscgem610870332,continental,19.476
iscgem610785483,continental,47.458
iscgem611834365,continental,33.982
iscgem616625012,continental,23.879
iscgem610870262,transitional,174.273
iscgem611600353,continental,14.123
iscgem610728836,continental,8.483
iscgem615092744,oceanic,285.565
iscgem616640056,transitional,134.375
iscgem611189152,transitional,126.793
iscgem611834165,continental,33.582
iscgem610759008,oceanic,424.022
iscgem616639690,transitional,55.094
iscgem615348170,continental,12.078
iscgem611834027,continental,45.699
iscgem616652111,transitional,159.222
iscgem610655578,continental,17.86
iscgem611833893,continental,4.843
iscgem611833873,transitional,71.485
iscgem614818708,transitional,78.289
iscgem616639916,continental,31.563
iscgem610618206,transitional,93.81
iscgem610618045,continental,12.364
iscgem610593224,oceanic,1426.449
iscgem611833703,transitional,79.024
iscgem611833705,transitional,88.841
iscgem611833669,continental,30.847
iscgem610548803,continental,22.171
iscgem610652991,continental,11.057
iscgem611832316,oceanic,270.892
iscgem614428763,oceanic,584.041
iscgem610478084,oceanic,823.524
iscgem610441408,continental,5.294
iscgem611832141,continental,33.209
iscgem615190856,continental,4.86
iscgem615092497,continental,18.579
iscgem611831873,oceanic,287.982
iscgem610239211,oceanic,646.698
iscgem610243814,oceanic,376.514
iscgem610208008,continental,3.615
iscgem615345541,continental,13.284
iscgem611831635,continental,3.909
iscgem615190385,continental,5.994
iscgem610180874,continental,29.929
iscgem614538632,transitional,191.377
iscgem611831502,continental,20.877
iscgem615092301,transitional,174.881
iscgem610180859,oceanic,200.732
iscgem615092294,oceanic,356.789
iscgem611831426,continental,16.88
iscgem609939179,continental,5.467
iscgem611831355,continental,41.97
iscgem609926106,continental,12.455
iscgem609925218,oceanic,674.597
iscgem611831327,transitional,132.094
iscgem609925047,transitional,85.475
iscgem611831311,continental,39.477
iscgem609869933,transitional,92.936
iscgem611831261,continental,32.339
iscgem611831259,transitional,57.478
iscgem609838923,continental,25.697
iscgem611831246,continental,33.479
iscgem609838893,transitional,158.869
iscgem609835783,oceanic,2279.951
iscgem609828738,continental,3.672
iscgem612638107,transitional,99.39
iscgem609804592,oceanic,235.84
iscgem615073288,oceanic,1649.386
iscgem615068943,transitional,145.852
iscgem615057210,transitional,50.169
iscgem615057144,continental,30.34
iscgem615052593,oceanic,272.027
iscgem615035926,continental,18.628
iscgem615033088,oceanic,353.365
iscgem615033176,continental,9.899
iscgem615035032,transitional,53.911
iscgem615029562,continental,1.921
iscgem615010353,transitional,112.533
iscgem609624987,transitional,64.837
iscgem612638074,transitional,63.681
iscgem609619717,transitional,77.863
iscgem611830857,continental,13.405
iscgem609604648,transitional,145.706
iscgem609631624,continental,3.396
iscgem609594680,transitional,84.152
iscgem609561441,continental,4.625
iscgem609577618,transitional,78.212
iscgem609549673,continental,35.059
iscgem611830660,transitional,134.13
iscgem609439035,oceanic,345.276
iscgem611830548,continental,9.637
iscgem609394985,continental,33.687
iscgem611830479,transitional,52.738
iscgem609394345,continental,20.532
iscgem611830455,oceanic,939.493
iscgem611830425,transitional,143.895
iscgem611462212,transitional,62.413
iscgem609377118,transitional,64.514
iscgem611830402,transitional,182.072
iscgem609370653,transitional,160.61
iscgem611462204,transitional,167.502
iscgem609367586,oceanic,1934.262
iscgem609329839,oceanic,339.251
iscgem611830337,transitional,186.417
iscgem611830288,transitional,66.131
iscgem609287853,oceanic,432.954
iscgem611830246,continental,20.731
iscgem609262205,transitional,74.609
iscgem611830214,continental,23.666
iscgem609252656,continental,7.335
iscgem609109145,transitional,178.725
iscgem609093424,continental,33.721
iscgem612637122,oceanic,1597.057
iscgem611829982,continental,3.07
iscgem611462104,oceanic,1801.154
iscgem609349303,transitional,81.129
iscgem611829959,continental,18.24
iscgem609001459,continental,15.347
iscgem611829948,continental,29.863
iscgem612637104,oceanic,241.077
iscgem611462047,continental,3.479
iscgem608992774,transitional,110.366
iscgem611829923,transitional,103.536
iscgem612637074,transitional,124.69
iscgem612637065,continental,16.475
iscgem611829898,transitional,73.832
iscgem608951780,continental,34.469
